INTERSECTION_ID,ID,AADT_MAJOR,AADT_MINOR,LIGHTING,APPROACH_LEFTTURN,APPROACH_RIGHTTURN,SKEW_ANGLE,PDO,KA,BC
001-001,1,15900,650,1,1,1,5,0,0,0
001-004,2,3400,30,0,0,0,20,0,0,0
001-005,3,2400,750,0,0,0,10,0,0,0
003-009,4,2300,500,0,0,0,40,0,0,0
004-006,5,5300,1400,1,0,0,15,0,0,0
004-008,6,6600,2700,0,0,0,25,0,0,0
004-010,7,15300,7100,1,0,0,25,0,0,0
004-011,8,8800,2900,1,0,0,0,0,0,0
004-012,9,2900,2800,1,0,0,5,0,0,0
005-008,10,6600,700,0,0,0,20,0,0,0
005-011,11,10300,1800,0,1,0,5,0,0,0
005-012,12,13500,5600,1,1,0,5,0,0,0
005-014,13,5600,4900,0,0,0,25,0,0,0
005-016,14,6200,950,0,0,0,65,0,0,0
005-018,15,1200,900,0,0,0,25,0,0,0
005-019,16,6400,1000,0,0,0,50,0,0,0
006-001,17,4600,350,1,0,0,0,0,0,0
006-003,18,6600,500,1,0,0,10,0,0,0
006-004,19,1800,70,1,0,0,0,0,0,0
007-001,20,6400,2800,1,0,0,5,0,0,0
007-030,21,4700,4500,1,0,0,45,0,0,0
012-007,22,6700,3100,1,0,0,5,2,0,0
012-008,23,7100,650,1,0,0,5,1,0,1
012-009,24,7100,4500,1,0,0,15,2,0,0
013-001,25,2500,1700,1,0,0,0,1,0,0
016-001,26,5400,1200,0,0,0,20,1,0,0
017-001,27,5300,3500,1,0,0,5,7,0,1
018-003,28,8400,1800,1,1,0,40,6,0,1
018-005,29,7700,3900,0,0,0,5,6,0,2
018-010,30,3800,1100,0,0,0,20,6,0,1
018-011,31,6000,4100,1,0,0,55,6,0,0
019-003,32,7400,800,1,0,0,5,4,0,0
020-003,33,4200,1300,1,0,0,10,1,0,1
020-004,34,4100,800,1,0,0,30,0,0,0
020-005,35,5600,1200,0,0,0,0,1,0,2
021-002,36,3200,2200,0,0,0,65,1,0,0
