INTERSECTION_ID,ID,AADT_MAJOR,AADT_MINOR,LIGHTING,APPROACH_LEFTTURN,APPROACH_RIGHTTURN,SKEW_ANGLE,PDO,KA,BC
002-024,1,9700,9100,1,1,1,10,0,0,0
003-004,2,9700,2700,1,1,0,5,0,0,0
007-014,3,9600,2800,1,1,0,5,6,0,2
007-025,4,12600,4500,1,1,0,20,6,0,5
017-002,5,10500,7500,1,0,0,5,0,0,0
027-003,6,15000,5100,1,1,0,35,8,0,4
027-005,7,14200,2700,1,0,0,15,9,0,4
030-001,8,13300,4000,1,0,0,20,9,0,2
035-004,9,17000,6000,1,1,0,10,9,1,1
039-004,10,17900,6800,1,1,0,15,4,0,3
039-008,11,6500,4100,1,1,0,35,4,0,1
041-005,12,6300,2900,1,0,0,20,5,1,1
044-004,13,13000,5400,1,0,1,35,6,0,1
044-007,14,8600,1200,1,0,0,10,15,1,1
045-006,15,6500,5200,0,0,0,30,4,0,3
046-005,16,9200,6000,1,0,0,20,0,0,0
047-002,17,8200,5100,0,0,0,10,0,0,0
047-007,18,3800,1800,1,0,0,25,11,0,9
047-008,19,4700,4400,1,0,0,35,3,0,0
048-019,20,6400,3800,1,0,0,0,0,0,0
049-004,21,6800,6600,0,1,1,5,4,0,1
050-003,22,10900,8700,0,1,1,5,1,0,4
050-015,23,17500,5700,1,1,1,0,1,0,0
051-013,24,15800,4900,1,0,0,20,16,1,5
052-001,25,12000,2000,1,0,0,5,7,0,0
053-005,26,9000,7200,1,1,0,25,9,0,2
053-006,27,9000,6800,0,1,1,10,7,0,5
057-002,28,7200,2000,0,0,0,25,3,1,1
057-005,29,9900,7000,0,1,0,15,0,0,0
057-006,30,7900,6800,0,1,0,0,0,0,0
057-007,31,11800,7000,0,1,1,25,0,0,0
058-001,32,4900,2200,1,0,0,15,4,0,2
058-002,33,9000,5500,1,0,0,15,13,2,0
059-007,34,7600,5200,1,1,1,5,6,0,2
060-006,35,10400,1700,1,0,0,20,5,1,1
061-023,36,10500,2900,1,0,0,10,1,0,2
067-002,37,2000,1100,0,0,0,15,0,0,0
069-004,38,7500,1900,0,0,0,25,5,0,2
070-002,39,6000,3600,1,0,0,5,4,0,0
075-004,40,7700,4100,0,0,0,30,9,0,9
075-006,41,6900,2700,1,0,0,25,6,0,2
077-002,42,9300,6800,1,1,0,10,0,0,0
077-009,43,9400,5800,1,0,0,0,12,1,5
077-011,44,8400,7500,0,0,0,40,6,0,4
077-014,45,12300,6100,1,1,0,30,13,0,2
080-007,46,15600,5800,1,1,1,5,26,0,7
101-004,47,5100,3000,1,0,0,25,9,1,4
103-012,48,8400,7700,1,0,1,0,2,0,3
106-014,49,9500,5700,1,1,0,10,20,0,7
111-003,50,7800,4300,0,0,0,30,3,0,0
111-007,51,6700,1700,0,1,0,20,6,0,3
112-001,52,17100,1100,1,0,0,25,5,0,1
113-003,53,9500,8200,1,0,1,25,0,0,0
113-004,54,17000,8900,1,1,0,45,5,0,1
113-008,55,11600,3300,0,0,0,30,6,0,4
115-005,56,7700,1300,0,0,0,30,7,0,2
115-009,57,8900,2400,1,0,0,20,13,0,7
117-009,58,15200,3100,1,0,0,55,5,0,2
117-011,59,17400,2700,0,1,0,15,10,1,5
118-007,60,9400,3800,1,0,0,15,7,0,6
124-012,61,14200,3200,1,1,0,40,8,0,4
126-006,62,6900,5300,1,0,0,35,7,0,2
126-010,63,8100,6600,1,1,0,20,3,0,0
131-004,64,13500,3300,1,0,0,10,0,0,0
134-002,65,4800,3500,1,0,0,25,2,0,0
137-015,66,6300,3700,1,0,0,0,11,0,5
138-004,67,10700,5700,1,1,1,0,21,0,6
139-007,68,13500,4800,1,0,0,15,18,1,7
139-014,69,6200,4700,1,0,0,30,3,0,0
140-002,70,12800,6300,1,1,1,30,0,0,0
140-003,71,14600,9400,1,1,1,10,12,0,3
141-002,72,2400,2000,1,0,0,5,1,0,0
142-001,73,11500,2900,1,1,0,30,13,0,2
143-017,74,4000,3600,1,0,0,20,6,0,0
143-018,75,5200,1400,1,0,0,10,3,1,1
143-028,76,13200,3800,1,1,0,15,8,0,1
143-029,77,16000,4000,1,1,1,35,6,0,4
143-030,78,13200,5600,1,1,1,30,5,0,3
146-012,79,10700,3300,1,0,0,10,9,0,6
146-013,80,26200,8400,1,1,0,15,19,0,6
148-001,81,10000,5300,1,0,0,10,8,0,1
148-013,82,13100,6000,1,1,1,25,1,0,0
148-016,83,17500,9000,0,1,1,10,18,1,4
148-019,84,19800,11600,1,1,1,20,30,0,8
148-020,85,10200,3900,1,0,0,10,16,0,2
149-006,86,2100,1800,1,0,0,0,0,0,0
152-008,87,11000,9100,1,1,1,10,7,0,2
153-008,88,17700,9500,1,0,0,45,20,1,12
153-009,89,13800,5200,0,1,1,20,24,1,5
153-022,90,7300,3400,1,0,0,5,0,0,0
156-003,91,9000,4600,1,1,1,0,7,1,5
157-002,92,12800,3200,0,0,0,5,13,2,4
158-011,93,13900,12400,1,0,0,30,11,0,1
158-015,94,12000,5700,1,0,0,45,7,0,3
160-003,95,7300,3600,1,1,1,10,3,0,3
161-004,96,9900,4500,0,0,0,55,8,0,1
161-012,97,12200,6700,0,0,0,5,16,0,5
163-016,98,10900,4100,1,1,0,5,9,1,5
164-002,99,17500,3000,1,1,1,0,18,1,6
166-019,100,16100,7600,1,1,1,25,0,0,0
167-001,101,8600,1400,1,0,0,15,6,0,1
169-006,102,4700,3900,0,0,0,30,0,0,0
